College,CIP,Program,Bachelors,Masters,Doctorate,Professional,Other,Joint Degree Program,Limited Access Bachelors,Multiple UF Colleges
Agricultural and Life Sciences,01.0103,Ag (Food and Resource) Economics,B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,01.0901,Animal Science,B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,01.1001,Food Science & Technology,B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,01.1101,Plant Sciences,B,NA,NA,NA,NA,NA,NA,NA
Agricultural and Life Sciences,01.1102,Agronomy and Crop Science,NA,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,01.1103,Horticulture Science,B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,01.1199,Plant Medicine,NA,NA,NA,P,NA,NA,NA,NA
Agricultural and Life Sciences,01.1201,Soils Science,B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,03.0104,Environmental Science,B,NA,NA,NA,NA,NA,NA,NA
Agricultural and Life Sciences,03.0301,Fisheries & Aquatic Sciences,NA,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,03.0501,Forest Resources & Conservation,B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,03.0601,Wildlife Ecology and Conservation,B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,13.1301,Agricultural Teacher Ed (Vocational),B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,14.0301,Agricultural/Biological Engineering,NA,M,NA,NA,NA,NA,NA,NA
Agricultural and Life Sciences,15.1102,Geomatics,B,NA,NA,NA,NA,NA,NA,NA
Agricultural and Life Sciences,19.0707,Family and Community Studies,B,M,NA,NA,NA,NA,NA,NA
Agricultural and Life Sciences,NA,Youth Development and Family Sciences,NA,NA,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,26.0101,Biology,B,NA,NA,NA,NA,NA,NA,NA
Agricultural and Life Sciences,26.0301,"Botany, General",B,NA,NA,NA,NA,NA,NA,NA
Agricultural and Life Sciences,26.0305,Plant Pathology,NA,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,26.0308,Plant Molecular & Cellular Biology,NA,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,26.0406,Animal Molecular and Cellular Biology,NA,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,26.0503,Microbiology/Bacteriology,B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,26.0702,Entomology,B,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,26.0801,Genetics and Genomics,NA,NA,D,NA,NA,J,NA,NA
Agricultural and Life Sciences,26.1301,Interdisciplinary Ecology,NA,M,D,NA,NA,NA,NA,NA
Agricultural and Life Sciences,27.0501,Statistics,B,NA,NA,NA,NA,NA,NA,NA
Agricultural and Life Sciences,30.1901,Nutritional Sciences,B,NA,D,NA,NA,NA,L,NA
Agricultural and Life Sciences,30.9999,Independent/Interdisciplinary Studies,B,NA,NA,NA,NA,NA,NA,NA
Agricultural and Life Sciences,51.3101,Dietetics,B,NA,NA,NA,NA,NA,L,NA
Arts,13.1302,Art Teacher Education,NA,M,NA,NA,NA,NA,L,NA
Arts,13.1312,Music Teacher Education,B,M,D,NA,NA,NA,L,NA
Arts,30.1401,Museology,NA,M,NA,NA,NA,NA,NA,NA
Arts,50.0102,Digital Arts/Digital Media,B,M,NA,NA,NA,J,L,NA
Arts,50.0301,Dance,B,NA,NA,NA,NA,NA,L,NA
Arts,50.0401,Design and Visual Communications,NA,M,NA,NA,NA,NA,NA,NA
Arts,50.0409,Graphic Design,B,NA,NA,NA,NA,NA,L,NA
Arts,50.0501,Dramatic Arts,B,M,NA,NA,NA,NA,L,NA
Arts,50.0702,Studio/Fine Art,B,M,NA,NA,NA,NA,L,NA
Arts,50.0703,Art History & Appreciation,B,M,D,NA,NA,NA,NA,NA
Arts,50.0799,Arts,NA,M,NA,NA,NA,NA,NA,NA
Arts,50.0901,"Music, General",B,M,D,NA,NA,NA,L,NA
Business Administration,11.0501,Information Systems and Operaions Management,NA,M,NA,NA,NA,NA,NA,NA
Business Administration,45.0601,Economics,B,M,D,NA,NA,NA,NA,NA
Business Administration,52.0201,Business Administration & Management,B,NA,D,NA,NA,NA,NA,NA
Business Administration,52.0301,Accounting,B,M,NA,NA,NA,NA,L,NA
Business Administration,52.0701,Entrepreneurship,NA,M,NA,NA,NA,NA,NA,NA
Business Administration,52.0801,"Finance, General",B,M,NA,NA,NA,NA,NA,NA
Business Administration,52.1101,International Business,NA,M,NA,NA,NA,NA,NA,NA
Business Administration,52.1301,Management Science,B,NA,NA,NA,NA,NA,NA,NA
Business Administration,52.1401,Marketing Management,B,M,NA,NA,NA,NA,NA,NA
Business Administration,52.1501,Real Estate,NA,M,NA,NA,NA,NA,NA,NA
Dentistry,51.0401,Dentistry,NA,NA,NA,P,NA,NA,NA,NA
Dentistry,51.0501,Dental Science,NA,M,NA,NA,NA,NA,NA,NA
"Design, Construction, and Planning",04.0201,Architecture,B,M,D,NA,NA,NA,L,NA
"Design, Construction, and Planning",04.0301,Urban & Regional Planning,NA,M,NA,NA,NA,NA,NA,NA
"Design, Construction, and Planning",04.0601,Landscape Architecture,B,M,NA,NA,NA,NA,L,NA
"Design, Construction, and Planning",15.1001,Construction/Building Technology,B,M,NA,NA,NA,NA,L,NA
"Design, Construction, and Planning",15.1005,International Construction Management,NA,M,NA,NA,NA,NA,NA,NA
"Design, Construction, and Planning",30.1201,Historic Preservation,NA,M,NA,NA,NA,NA,NA,NA
"Design, Construction, and Planning",30.3301,Sustainability & Built Environment,B,NA,NA,NA,NA,NA,L,NA
"Design, Construction, and Planning",43.0203,Fire Science/Emergency Service,B,M,NA,NA,NA,NA,NA,NA
"Design, Construction, and Planning",50.0408,Interior Design,B,M,NA,NA,NA,NA,L,NA
Education,13.0101,Education Sciences,B,NA,NA,NA,NA,NA,NA,NA
Education,13.0301,Curriculum & Instruction,NA,M,D,P,S,NA,NA,NA
Education,13.0401,"Educational Administration/Leadership, General",NA,M,D,NA,S,NA,NA,NA
Education,13.0406,Higher Education Administration,NA,NA,D,NA,NA,NA,NA,NA
Education,13.0603,Educational Statistics & Research Methods,NA,M,D,NA,NA,NA,NA,NA
Education,13.1001,"Special Education, General",B,M,D,NA,S,NA,L,NA
Education,13.1101,Counselor Education/Student Counseling/Guidance,NA,M,D,NA,S,NA,NA,NA
Education,13.1102,College Student Counseling & Personnel Services,NA,M,NA,NA,NA,NA,NA,NA
Education,13.1202,Elementary Teacher Education,B,M,NA,NA,NA,NA,L,NA
Education,13.1210,Pre-Elementary/Early Childhood Teacher Education,NA,M,NA,NA,NA,NA,NA,NA
Education,13.1305,English Teacher Education,NA,M,NA,NA,NA,NA,NA,NA
Education,13.1311,Mathematics Teacher Education,NA,M,NA,NA,NA,NA,NA,NA
Education,13.1315,Reading Teacher Education,NA,M,NA,NA,NA,NA,NA,NA
Education,13.1316,Science Teacher Education,NA,M,NA,NA,NA,NA,NA,NA
Education,13.1318,Social Studies Teacher Education,NA,M,NA,NA,NA,NA,NA,NA
